,Point,Away,Right,Elevation,Description,Translated_X,Translated_Y,Translated_Z,Rotated_X,Rotated_Y,Rotated_Z,Latitude,Longitude,Altitude
28,29,496.55,-0.19,85.3,JT 25,1150496.55,4561999.81,85.3,1150496.527074267,4562004.775261243,85.3,-87.63827527541159,49.18159834832828,85.3
29,30,516.55,-0.04,85.39,JT 26,1150516.55,4561999.96,85.39,1150516.524574417,4562005.125243744,85.39,-87.63819166113116,49.18159880428325,85.39
30,31,536.55,0.14,85.49,JT 27,1150536.55,4562000.14,85.49,1150536.5217745819,4562005.505224746,85.49,-87.63810804695225,49.181599342397675,85.49
31,32,556.55,0.22,85.62,JT 28,1150556.55,4562000.22,85.62,1150556.519974697,4562005.785210746,85.62,-87.63802443243122,49.18159960638484,85.62
32,33,576.55,0.2,85.76,JT 29,1150576.55,4562000.2,85.76,1150576.5191747618,4562005.965201748,85.76,-87.63794081756943,49.18159959624477,85.76
33,34,596.55,0.23,85.88,JT 30,1150596.55,4562000.23,85.88,1150596.5178748518,4562006.195190249,85.88,-87.63785720287832,49.18159972307752,85.88
34,35,616.55,0.3,86.02,JT 31,1150616.55,4562000.3,86.02,1150616.5161749618,4562006.465176749,86.02,-87.63777358832324,49.18159995947639,86.02
35,36,636.55,0.32,86.15,JT 32,1150636.55,4562000.32,86.15,1150636.514975047,4562006.685165751,86.15,-87.63768997359847,49.18160005878137,86.15
36,37,656.55,0.3,86.28,JT 33,1150656.55,4562000.3,86.28,1150656.514175112,4562006.86515675,86.28,-87.63760635873851,49.18160004839911,86.28
37,38,676.54,0.34,86.41,JT 34,1150676.54,4562000.34,86.41,1150676.5027757068,4562007.105044756,86.41,-87.63752278588954,49.181600202374185,86.41
38,39,696.54,0.47,86.52,JT 35,1150696.54,4562000.47,86.52,1150696.500475847,4562007.435028258,86.52,-87.63743917153725,49.18160060297094,86.52
39,40,716.54,0.59,86.62,JT 36,1150716.54,4562000.59,86.62,1150716.4982759818,4562007.755012259,86.62,-87.63735555715053,49.181600976100476,86.62
40,41,736.54,0.71,86.67,JT 37,1150736.54,4562000.71,86.67,1150736.4960761168,4562008.07499626,86.67,-87.63727194276316,49.18160134916946,86.67
41,42,756.54,0.8,86.63,JT 38,1150756.54,4562000.8,86.63,1150756.494176237,4562008.364981761,86.63,-87.63718832827429,49.181601639957904,86.63
42,43,776.54,0.86,86.57,JT 39,1150776.54,4562000.86,86.57,1150776.4925763418,4562008.6249687625,86.57,-87.6371047136843,49.18160184846579,86.57
43,44,796.54,0.83,86.52,JT 40,1150796.54,4562000.83,86.52,1150796.4918764017,4562008.794960263,86.52,-87.63702109879236,49.18160181025311,86.52
44,45,816.54,0.42,86.5,JT 41,1150816.54,4562000.42,86.5,1150816.4949762719,4562008.584970762,86.5,-87.63693748262834,49.18160073052648,86.5
45,46,836.53,-0.04,86.52,JT 42,1150836.53,4561999.96,86.52,1150836.4885766169,4562008.3248837665,86.52,-87.63685390810873,49.18159951368405,86.52
46,47,856.53,-0.37,86.59,JT 43,1150856.53,4561999.63,86.59,1150856.4908765268,4562008.194890265,86.59,-87.6367702922207,49.18159865308973,86.59
47,48,876.53,-0.71,86.74,JT 44,1150876.53,4561999.29,86.74,1150876.4932764317,4562008.0548972655,86.74,-87.63668667630287,49.181597765028236,86.74
48,49,896.52,-0.91,86.87,JT 45,1150896.52,4561999.09,86.87,1150896.4842769068,4562008.05479727,86.87,-87.6366031026624,49.18159726057772,86.87
49,50,916.52,-1.03,86.99,JT 46,1150916.52,4561998.97,86.99,1150916.4844769216,4562008.13479327,86.99,-87.63651948748301,49.18159697534187,86.99
50,51,936.52,-0.99,87.1,JT 47,1150936.52,4561999.01,87.1,1150936.4830770167,4562008.374781271,87.1,-87.63643587283673,49.18159712855217,87.1
51,52,956.52,-0.81,87.22,JT 48,1150956.52,4561999.19,87.22,1150956.4802771816,4562008.754762273,87.22,-87.63635225865498,49.18159766539529,87.22
52,53,976.52,-0.57,87.3,JT 49,1150976.52,4561999.43,87.3,1150976.4768773767,4562009.194740274,87.3,-87.6362686446708,49.181598366617855,87.3
53,54,996.52,-0.39,87.31,JT 50,1150996.52,4561999.61,87.31,1150996.4740775416,4562009.574721276,87.31,-87.63618503048644,49.18159890333986,87.31
54,55,1016.52,-0.33,87.4,JT 51,1151016.52,4561999.67,87.4,1151016.4724776468,4562009.834708277,87.4,-87.63610141590449,49.181599111121315,87.4
55,56,1036.52,-0.18,87.57,JT 52,1151036.52,4561999.82,87.57,1151036.4699777965,4562010.184690778,87.57,-87.63601780161936,49.181599565502225,87.57
56,57,1056.52,-0.04,87.74,JT 53,1151056.52,4561999.96,87.74,1151056.4675779417,4562010.5246737795,87.74,-87.63593418730039,49.18159999241594,87.74
57,58,1076.51,-0.15,87.93,JT 54,1151076.51,4561999.85,87.93,1151076.4576784617,4562010.614569284,87.93,-87.63585061396562,49.181599734080876,87.93
58,59,1096.51,-0.36,88.15,JT 55,1151096.51,4561999.64,88.15,1151096.4587784316,4562010.604569784,88.15,-87.63576699849648,49.1815992016402,88.15
59,60,1116.51,-0.48,88.34,JT 56,1151116.51,4561999.52,88.34,1151116.4589784467,4562010.684565784,88.34,-87.63568338332497,49.18159891579898,88.34
60,61,1136.51,-0.57,88.51,JT 57,1151136.51,4561999.43,88.51,1151136.4588784766,4562010.794560285,88.51,-87.63559976825336,49.18159871211723,88.51
61,62,1156.51,-0.55,88.7,JT 58,1151156.51,4561999.45,88.7,1151156.4576785616,4562011.014549286,88.7,-87.6355161535429,49.18159880984826,88.7
62,63,1176.51,-0.39,88.89,JT 59,1151176.51,4561999.61,88.89,1151176.4550787166,4562011.374531288,88.89,-87.63543253929002,49.18159929121207,88.89
63,64,1196.51,-0.14,89.02,JT 60,1151196.51,4561999.86,89.02,1151196.4515789165,4562011.82450879,89.02,-87.63534892532977,49.18160001917533,89.02
64,65,1216.5,0.01,89.08,JT 61,1151216.5,4562000.01,89.08,1151216.4390795664,4562012.174391296,89.08,-87.63526535284933,49.18160047299001,89.08
65,66,1236.5,-0.01,89.13,JT 62,1151236.5,4561999.99,89.13,1151236.4382796315,4562012.354382296,89.13,-87.63518173800769,49.18160046085224,89.13
66,67,1256.5,-0.1,89.32,JT 63,1151256.5,4561999.9,89.32,1151256.4381796615,4562012.464376797,89.32,-87.63509812293934,49.18160025680727,89.32
67,68,1276.5,0.07,89.83,JT 64,1151276.5,4562000.07,89.83,1151276.4354798214,4562012.834358298,89.83,-87.63501450871563,49.18160076527504,89.83
68,69,1296.48,0.27,90.51,JT 65,1151296.48,4562000.27,90.51,1151296.4124809965,4562013.234138309,90.51,-87.63493097820276,49.18160135585979,90.51
69,70,1302.48,0.25,90.7,JT 66,1151302.48,4562000.25,90.7,1151302.412381009,4562013.2741363095,90.7,-87.63490589370521,49.18160131378286,90.7
