,Point,Away,Right,Elevation,Description,Translated_X,Translated_Y,Translated_Z,Rotated_X,Rotated_Y,Rotated_Z,Latitude,Longitude,Altitude
53,54,1036.52,-0.18,87.57,JT 52,1149481.304,1942198.5180000002,87.57,-1133672.0315446472,-1951468.6972791466,87.57,-95.09438886551702,31.12605061150128,87.57
54,55,1056.52,-0.04,87.74,JT 53,1149501.304,1942198.658,87.74,-1133692.02974838,-1951468.9996819575,87.74,-95.09445227046731,31.126046439989054,87.74
55,56,1076.51,-0.15,87.93,JT 54,1149521.294,1942198.5480000002,87.93,-1133712.0199825354,-1951469.0520118074,87.93,-95.09451569875225,31.126042952481452,87.93
56,57,1096.51,-0.36,88.15,JT 55,1149541.294,1942198.338,88.15,-1133732.021028398,-1951469.004426158,88.15,-95.09457918077011,31.126039735904353,88.15
57,58,1116.51,-0.48,88.34,JT 56,1149561.294,1942198.218,88.34,-1133752.0213434275,-1951469.0468375415,88.34,-95.09464264295414,31.12603627372574,88.34
58,59,1136.51,-0.57,88.51,JT 57,1149581.294,1942198.128,88.51,-1133772.0214148457,-1951469.1192479355,88.51,-95.09470609851957,31.12603272965938,88.51
59,60,1156.51,-0.55,88.7,JT 58,1149601.294,1942198.148,88.7,-1133792.020593023,-1951469.3016547028,88.7,-95.09476952984511,31.126028885420435,88.7
60,61,1176.51,-0.39,88.89,JT 59,1149621.294,1942198.3080000002,88.89,-1133812.0186343486,-1951469.6240568545,88.89,-95.09483293032221,31.12602465915222,88.89
61,62,1196.51,-0.14,89.02,JT 60,1149641.294,1942198.5580000002,89.02,-1133832.0159448404,-1951470.0364560387,89.02,-95.09489631096353,31.12602018728289,89.02
62,63,1216.5,0.01,89.08,JT 61,1149661.284,1942198.708,89.08,-1133852.0040676994,-1951470.3487773163,89.08,-95.09495968190184,31.12601599013377,89.08
63,64,1236.5,-0.01,89.13,JT 62,1149681.284,1942198.688,89.13,-1133872.0035706917,-1951470.4911854023,89.13,-95.09502312199236,31.126012254914148,89.13
64,65,1256.5,-0.1,89.32,JT 63,1149701.284,1942198.598,89.32,-1133892.0036421097,-1951470.5635957962,89.32,-95.09508657749086,31.126008710662802,89.32
65,66,1276.5,0.07,89.83,JT 64,1149721.284,1942198.7680000002,89.83,-1133912.0016022315,-1951470.8959976183,89.83,-95.09514997570712,31.126004456955332,89.83
66,67,1296.48,0.27,90.51,JT 65,1149741.264,1942198.968,90.51,-1133931.9793194013,-1951471.2582360434,90.51,-95.0952133038677,31.126000125150323,90.51
67,68,1302.48,0.25,90.7,JT 66,1149747.264,1942198.948,90.7,-1133937.9792839843,-1951471.286958931,90.7,-95.09523233896638,31.125999042750525,90.7
